text,label
I don't think it's possible to coexist with society and I keep seeing posts from people who say they have social anxiety or are at college.,3
"My anxiety is ruining me, I was severely bullied through elementary school, early middle school, and I still struggle with depression today, however the most severe.",3
A bbq is giving me anxiety so summer has come and people want to enjoy their lifes I have been invited to a bbq and it is really giving me anxiety in weeks the main reason is that there are people I don't know and that I am scared if they will try to go,3
"I decided that I was going to try to get out of my comfort zone and walk around my neighborhood, but I was afraid of being watched or looked at.",3
"If I left the house and went to a store like the supermarket, most people would be able to go in, I have severe social anxiety, how can I get rid of it?",3
It's hard for me to walk outside because people on the street are more likely to judge me and I'm more exposed.,3
"When I am sitting in college and someone is sitting next to me, I feel like I am in a straightjacket, but now that I am sitting outside, I am not as socially anxious.",3
"I am a year old person with social anxiety, but after a lot of online research I came to the conclusion that I also feel depressed, and sometimes it lasts for months.",3
"Since moving to a foreign country, I have developed social anxiety, but it was not as bad as it was in my home country, and I had a lot of confidence in myself.",3
I'm too scared to join a sport because I'm not good at it and the team won't like me so I can't join clubs.,3
I've never had a job but I hate myself so much that I can't go outside without fear of being judged and looked at by people.,3
I live across the street from a park and my therapist wants me to walk to it alone but I'm worried people will find it weird.,3
I want to go swimming for a couple of weeks but I don't want to be forced to swim in the same lane as other people and to swim past them in the opposite direction so I asked the place.,3
I was getting over a serious bout of agoraphobia after some traumatic shit happened to me in my final year of uni and just as I was making real progress and leaving the house two or three times a week this happened today was my monthly walk to the pharmacy to pick up meds.,3
I am reaching out to you to get some tips on how to get out of this deep hole of depression and anxiety that I have been in for the last few years.,3
"I recently got on a medication that helps with depression and anxiety and it has made a huge difference of course it didnt cure me but it made being around people bearable before I got on medication, I would wake up with dread knowing I have to go outside.",3
"I need to get some stuff off my chest, so I'm not sure if this is a good place to post it, but I wish I could do whatever I wanted without feeling like a failure.",3
I don't feel like I walk fast but I do feel like I am not able to walk properly and whenever I am around people I get anxious and terrified and that everyone is judging me on how I walk and how I look.,3
"I want to join a soccer club in order to meet new people, but I'm afraid I'll be the only one that doesn't already have friends, so I'm hesitant to go.",3
agoraphobia is an anxiety disorder characterized by symptoms of anxiety in situations where the person perceives their environment to be unsafe.,3
