text,label,keyword
"Still, my suggestion to you is that he should do whatever it takes to calm himself (music, walking etc.). If a guy is genuine, they shouldn't judge him because if — trust me --... ” He might sound nervous and vulnerable, but I don’t think his actions are justified in thinking that maybe – perhaps even allowing him to feel comfortable around him.",1,walk
"By doing the Pokemon thing, I can motivate myself to go out more often and do bike rides for leisure time. (I hope this helps) Secondly, my favorite books are The Girl with Dragon Tattoo trilogy and Hitchhiker's Guide To The Galaxy!",1,"outside, bike"
"Meeting people at restaurants, movie theaters and fast-food joints also helped me. However though my anxiety can make it worse if I'm not careful, the stress intensifies it, making matters worst when I think about it. Walking is another way to move from one residential area to another.",1,walk
"My SA is still present, but I have discovered how to manage it. It's worth noting the effects on physical health such as body image and mood (such as increased energy levels). Additionally: Your son may find running or sports activities more beneficial than going to the gym.",1,run
"I find running to be a source of enjoyment, even when it's not as exciting as my usual speedy pace. However, with the arrival of school comes some challenges, including the constant presence of parents and traffic on my back streets. I still run at 6:30 am because there are so many people who have their own personal lives to care for, but this is something I really enjoy in these days.",1,"running, run, horse, walk"
"Without the need to hit my gym, walking my dog can be a source of comfort.",1,walk
"Nevertheless, for me personally, the only things on my mind are music and the need to avoid winter. Winter requires ample time outdoors or taking long walks as I don't have so many people around during cold weathers.",1,"outside, walk"
"Despite having spent 23 years in the military, our current situation is distressing and challenging. We are feeling uneasy about trying new things and need something different right now. I feel like my mind has been turned to depression as well.",1,"outside, jog, run"
"It's my opinion that going out is a good idea, even if there're no specific reason to do it. Just go for escapades as I feel like relaxing outside the house. There are times when I'm at home for several days in eons and have significantly worse SA at those times.",1,walk
"Eating in public places at my college is not appealing to me, and I often choose parks that are not very close.",1,park
"What kind of exercise you do, it's really good for your health. It'll be even better when you're out in the open! Keep up with it :)",1,outside
"Today, I feel fantastic. However, today while hiking and meeting some awesome people on the mountain again caused me to feel extremely low about my happiness.",1,"hike, mountain"
"Several people here have similar problems, and these changes can lead to significant improvements in your health and energy levels. They can be achieved by following a healthy diet that excludes sugars or wheat, refraining from sugary or processed foods like sugar syrup and porn consumption; engaging in daily physical activity such as running or working out; taking cold showers every day; practicing meditation, reading, listening to music, etc.",1,running
"While I haven't experienced romantic endings in my life, my friend recently ended a relationship with her boyfriend of 8 years. Instead she advises you to work on your inner peace and stability instead of dwelling on ""how bad can this be?""",1,"running, nature"
"If I'm not eating too much and start spending time with others more, maybe running might help me relax.",1,runs
"Initially, I had difficulty with food consumption. However; running helped me overcome my fear and gained weight for the first time in years.",1,"running, run"
"Engage in physical activities like performing jumping jacks, push-up exercises and going for a run to temporarily alleviate anxiety.",1,jog
"Don't bother to leave your bike at work, as you don' t want to go on a long ride. Instead, take the opportunity to cycle for 15 minutes if it's ten minutes.",1,"walk, bike"
"For some, grounding up and breathing works. Sometimes doing something you like takes the mind off your mind (thoughts don't always drive you away - think about what goes on around there). Some people prefer music or just taking a walk or take if possible, etc...",1,walk
"For exposure therapy, I consistently smiled and nodded in front of others. After a while it helped to improve my social status as well. One of the first things that changed over time was taking walks around parks.",1,"park, walk"
"My initial approach to socializing began with me greeting everyone by greeting them around the park, but it wasn't lonely. Despite having friends and being introverted, this isn'T possible. I can' not believe that everyone who has friends has their own problems to work with, so finding ways to solve them in a way that works best for both parties.",1,"walk, park"
"Does not having a job make me insignificant? And, don't worry -- join if you can'T! -- because you really need to be active and focused on your daily routine.",1,"running, walk"
"The weather was chilly and rainy today, but I managed to finish a 30-minute run before heading home sweating heavily. On this morning, I bought inexpensive running shoes and took icy showers. Try going outside for stretches now!",1,"running, outside"
"There is a feeling of insecurity and passive observation about my behavior. Although I was sober, it helped me feel more self-assured. My neighbors aren't particularly impressed with how well others treat me because I occasionally smoke outside during our stay at the apartment but once woke up, I went for errands to take ice breaks outside.",1,"outside, walk"
