number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.20198675496688742,2024-04-02 01:16:56.212429,2024-04-02 01:17:10.785668,0 days 00:00:14.573239,1.5984167467344764e-06,COMPLETE
1,0.20198675496688742,2024-04-02 01:17:10.786382,2024-04-02 01:17:24.022438,0 days 00:00:13.236056,1.5130079386883445e-06,COMPLETE
2,0.20198675496688742,2024-04-02 01:17:24.023196,2024-04-02 01:17:37.311801,0 days 00:00:13.288605,1.0120074560544246e-06,COMPLETE
3,0.20198675496688742,2024-04-02 01:17:37.312776,2024-04-02 01:17:50.660995,0 days 00:00:13.348219,1.1076530458545925e-06,COMPLETE
4,0.20198675496688742,2024-04-02 01:17:50.661749,2024-04-02 01:18:04.104716,0 days 00:00:13.442967,1.0024232894477834e-08,COMPLETE
5,0.20198675496688742,2024-04-02 01:18:04.105613,2024-04-02 01:18:17.613686,0 days 00:00:13.508073,2.653498934072611e-08,COMPLETE
6,0.20198675496688742,2024-04-02 01:18:17.614450,2024-04-02 01:18:31.292045,0 days 00:00:13.677595,1.399902791901452e-07,COMPLETE
7,0.20198675496688742,2024-04-02 01:18:31.292795,2024-04-02 01:18:44.866809,0 days 00:00:13.574014,6.33368508023411e-07,COMPLETE
8,0.20198675496688742,2024-04-02 01:18:44.867540,2024-04-02 01:18:58.452793,0 days 00:00:13.585253,3.66669454280062e-06,COMPLETE
9,0.20198675496688742,2024-04-02 01:18:58.453588,2024-04-02 01:19:12.090080,0 days 00:00:13.636492,4.894511389365946e-06,COMPLETE
10,0.2637857010857985,2024-04-02 01:19:12.090790,2024-04-02 01:19:25.747041,0 days 00:00:13.656251,7.954021589193221e-05,COMPLETE
11,0.36160926160553386,2024-04-02 01:19:25.747850,2024-04-02 01:19:39.512839,0 days 00:00:13.764989,8.234550910287104e-05,COMPLETE
12,0.4579157600034516,2024-04-02 01:19:39.513671,2024-04-02 01:19:53.190492,0 days 00:00:13.676821,9.844899488467702e-05,COMPLETE
13,0.5122131992516645,2024-04-02 01:19:53.191284,2024-04-02 01:20:06.942270,0 days 00:00:13.750986,9.714490129538532e-05,COMPLETE
14,0.38422246957937567,2024-04-02 01:20:06.943010,2024-04-02 01:20:20.681603,0 days 00:00:13.738593,1.9104960154174408e-05,COMPLETE
15,0.38662261026329026,2024-04-02 01:20:20.682275,2024-04-02 01:20:34.332511,0 days 00:00:13.650236,2.079838097955323e-05,COMPLETE
16,0.3780646867044625,2024-04-02 01:20:34.333322,2024-04-02 01:20:48.071320,0 days 00:00:13.737998,1.9310233331563282e-05,COMPLETE
17,0.3582406821537256,2024-04-02 01:20:48.072823,2024-04-02 01:21:01.795781,0 days 00:00:13.722958,3.8879961969127204e-05,COMPLETE
18,0.39160254603623185,2024-04-02 01:21:01.796462,2024-04-02 01:21:15.473187,0 days 00:00:13.676725,7.775399792250408e-06,COMPLETE
19,0.40058548798297844,2024-04-02 01:21:15.473924,2024-04-02 01:21:29.091406,0 days 00:00:13.617482,1.7580135233786708e-07,COMPLETE
20,0.4167699047373995,2024-04-02 01:21:29.092130,2024-04-02 01:21:42.710968,0 days 00:00:13.618838,8.9528169693884e-05,COMPLETE
21,0.4393395263106796,2024-04-02 01:21:42.711707,2024-04-02 01:21:56.409071,0 days 00:00:13.697364,9.591856505107617e-05,COMPLETE
22,0.40582689700075864,2024-04-02 01:21:56.409934,2024-04-02 01:22:10.106006,0 days 00:00:13.696072,3.449236385925642e-05,COMPLETE
23,0.3866635665289047,2024-04-02 01:22:10.106786,2024-04-02 01:22:23.739775,0 days 00:00:13.632989,8.130390328752733e-06,COMPLETE
24,0.3977670913991669,2024-04-02 01:22:23.740479,2024-04-02 01:22:37.373561,0 days 00:00:13.633082,3.697181620449922e-05,COMPLETE
25,0.401045455330389,2024-04-02 01:22:37.374462,2024-04-02 01:22:51.031236,0 days 00:00:13.656774,9.238892984148278e-05,COMPLETE
26,0.3975469050565328,2024-04-02 01:22:51.031962,2024-04-02 01:23:04.751292,0 days 00:00:13.719330,1.2557837140893671e-05,COMPLETE
27,0.4066177722079855,2024-04-02 01:23:04.752121,2024-04-02 01:23:18.412128,0 days 00:00:13.660007,5.354650461338941e-05,COMPLETE
28,0.3973764615718864,2024-04-02 01:23:18.413044,2024-04-02 01:23:31.994937,0 days 00:00:13.581893,3.0857517981939697e-06,COMPLETE
29,0.3990503294052899,2024-04-02 01:23:31.995730,2024-04-02 01:23:45.599888,0 days 00:00:13.604158,4.413333553191542e-07,COMPLETE
