number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_num_train_epochs,state
0,0.43175618678135147,2024-04-02 01:57:46.656475,2024-04-02 01:59:28.302312,0 days 00:01:41.645837,4.651212868423436e-06,23,COMPLETE
1,0.4181695580894125,2024-04-02 01:59:28.303011,2024-04-02 02:01:10.472139,0 days 00:01:42.169128,1.5426782570118052e-06,23,COMPLETE
2,0.37223825631946855,2024-04-02 02:01:10.472977,2024-04-02 02:02:10.846261,0 days 00:01:00.373284,4.5853629600556683e-05,14,COMPLETE
3,0.4169673006542496,2024-04-02 02:02:10.846949,2024-04-02 02:03:41.055868,0 days 00:01:30.208919,3.6131558786291056e-06,21,COMPLETE
4,0.4269879277454154,2024-04-02 02:03:41.056464,2024-04-02 02:04:37.192333,0 days 00:00:56.135869,6.8086789575512155e-06,13,COMPLETE
5,0.42160970980282403,2024-04-02 02:04:37.192979,2024-04-02 02:05:25.018121,0 days 00:00:47.825142,1.131885756200013e-05,11,COMPLETE
6,0.4198451500274667,2024-04-02 02:05:25.018831,2024-04-02 02:07:02.504881,0 days 00:01:37.486050,1.2056355317729317e-06,22,COMPLETE
7,0.4278330262621636,2024-04-02 02:07:02.505550,2024-04-02 02:09:13.842508,0 days 00:02:11.336958,1.7474230037125266e-06,30,COMPLETE
8,0.42159696978122174,2024-04-02 02:09:13.843180,2024-04-02 02:10:22.796679,0 days 00:01:08.953499,4.5931138365246e-06,16,COMPLETE
9,0.4225994473156214,2024-04-02 02:10:22.797271,2024-04-02 02:11:31.733354,0 days 00:01:08.936083,9.039728641431607e-06,16,COMPLETE
10,0.4236108585592742,2024-04-02 02:11:31.733949,2024-04-02 02:13:26.162458,0 days 00:01:54.428509,5.461194356156045e-07,26,COMPLETE
11,0.42362838658331414,2024-04-02 02:13:26.163362,2024-04-02 02:15:37.659639,0 days 00:02:11.496277,2.398382099999532e-06,30,COMPLETE
12,0.4320598768084802,2024-04-02 02:15:37.660258,2024-04-02 02:17:49.122107,0 days 00:02:11.461849,1.4815772689702545e-05,30,COMPLETE
13,0.4215758987833751,2024-04-02 02:17:49.122919,2024-04-02 02:19:43.443643,0 days 00:01:54.320724,2.1290332023103636e-05,26,COMPLETE
14,0.42155163132209017,2024-04-02 02:19:43.444432,2024-04-02 02:21:42.057370,0 days 00:01:58.612938,1.503896046441063e-05,27,COMPLETE
15,0.42155163132209017,2024-04-02 02:21:42.058442,2024-04-02 02:23:27.884274,0 days 00:01:45.825832,2.7712411863242382e-05,24,COMPLETE
16,0.41682602301117805,2024-04-02 02:23:27.884999,2024-04-02 02:24:49.688073,0 days 00:01:21.803074,5.56230303779723e-06,19,COMPLETE
17,0.41682602301117805,2024-04-02 02:24:49.688776,2024-04-02 02:26:11.483916,0 days 00:01:21.795140,4.848419456126266e-05,19,COMPLETE
