number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_weight_decay,state
0,0.5734684246237853,2024-04-18 13:38:17.792548,2024-04-18 13:45:16.947390,0 days 00:06:59.154842,48,1.7657045540996488e-05,0.0203470465610615,COMPLETE
1,0.5917745533667784,2024-04-18 13:45:16.947900,2024-04-18 13:49:17.720794,0 days 00:04:00.772894,32,2.7134550965667456e-06,0.019971942349384594,COMPLETE
2,0.5910052996756493,2024-04-18 13:49:17.721605,2024-04-18 13:51:42.781746,0 days 00:02:25.060141,48,3.1899704664468634e-06,0.013967274971587219,COMPLETE
3,0.5796011921011877,2024-04-18 13:51:42.782602,2024-04-18 13:53:21.427391,0 days 00:01:38.644789,16,0.00016739234972442063,0.01772088196105185,COMPLETE
4,0.6032314873463107,2024-04-18 13:53:21.428244,2024-04-18 13:55:03.802736,0 days 00:01:42.374492,32,2.9977323445300437e-06,0.043331383283063185,COMPLETE
5,0.5914223828766557,2024-04-18 13:55:03.803525,2024-04-18 13:55:57.022877,0 days 00:00:53.219352,32,1.4708488434200106e-06,0.04964375201462955,COMPLETE
6,0.6000053485471272,2024-04-18 13:55:57.023733,2024-04-18 13:56:51.544583,0 days 00:00:54.520850,16,1.6137867962690489e-06,0.044049935786680434,COMPLETE
7,0.5951171410773284,2024-04-18 13:56:51.545352,2024-04-18 13:57:44.822631,0 days 00:00:53.277279,32,1.0429329431336918e-06,0.010315979297600437,COMPLETE
8,0.5951171410773284,2024-04-18 13:57:44.823185,2024-04-18 13:58:39.148195,0 days 00:00:54.325010,16,7.95925437290238e-07,0.045415999459401384,COMPLETE
9,0.5951171410773284,2024-04-18 13:58:39.148958,2024-04-18 13:59:31.880924,0 days 00:00:52.731966,48,1.1614556382816448e-06,0.007124321269241025,COMPLETE
10,0.6019912996016895,2024-04-18 13:59:31.881700,2024-04-18 14:00:26.529853,0 days 00:00:54.648153,32,1.598585257566705e-05,0.03344170583444367,COMPLETE
11,0.6176279337793897,2024-04-18 14:00:26.530662,2024-04-18 14:01:21.587547,0 days 00:00:55.056885,32,1.4914359791213386e-05,0.03189513746694165,COMPLETE
12,0.6335087063347933,2024-04-18 14:01:21.588446,2024-04-18 14:02:15.155835,0 days 00:00:53.567389,32,6.814632853597208e-05,0.03222859288025888,COMPLETE
13,0.6316003777097662,2024-04-18 14:02:15.156392,2024-04-18 14:03:08.721573,0 days 00:00:53.565181,32,7.398778026325357e-05,0.0313055157580112,COMPLETE
14,0.6563892072567236,2024-04-18 14:03:08.722305,2024-04-18 14:04:01.478576,0 days 00:00:52.756271,48,0.00017777274287584816,0.031305054753488326,COMPLETE
15,0.6342256233065011,2024-04-18 14:04:01.479176,2024-04-18 14:04:54.264705,0 days 00:00:52.785529,48,0.0004914233847505224,0.0010324480792911483,COMPLETE
